Route,9_10_24_Tuesday,1_11_25_Saturday,1_12_25_Sunday,1_13_25_Monday,1_14_25_Tuesday,1_15_25_Wednesday,1_17_25_Friday
1,6,4,3,5,7,5,4
2,3,1,2,2,2,3,2
4,2,0,0,1,2,1,2
6,3,2,1,2,2,2,1
7,0,0,0,0,1,1,0
8,3,2,2,6,5,6,5
11,2,0,1,0,1,1,1
12,4,4,2,4,3,4,3
13,5,3,2,3,5,5,5
14,3,1,0,2,2,2,2
15,4,2,1,2,2,1,2
16,5,2,3,3,5,5,5
17,3,1,2,3,4,3,2
18,1,0,0,0,1,1,1
19L,2,0,0,0,2,2,0
20,1,2,1,2,2,1,2
21,3,1,1,2,4,3,4
22,2,2,1,2,2,2,2
24,3,1,2,4,4,4,4
26,2,0,1,1,3,2,1
27,2,1,1,2,2,3,2
29,3,1,2,2,2,2,2
31,2,2,2,2,4,2,2
36,1,1,1,2,2,1,1
38,3,1,1,2,2,3,2
39,3,0,1,2,2,2,2
40,1,1,0,1,2,1,1
41,4,1,1,1,4,4,2
43,1,1,1,1,1,1,1
44,3,2,0,2,3,2,2
48,3,2,2,2,2,3,2
51,10,7,4,9,11,11,10
51L,2,0,0,0,2,2,1
52L,2,0,0,0,1,2,1
53,0,0,1,0,0,0,0
53L,3,0,0,3,2,2,2
54,8,5,3,8,9,8,9
55,2,1,2,3,2,3,3
56,2,2,1,2,3,3,3
57,2,1,2,2,1,1,2
58,2,1,1,0,1,3,3
59,6,5,4,7,7,7,5
60,0,0,0,1,1,0,0
61A,11,5,4,6,9,8,7
61B,8,6,4,6,9,9,9
61C,13,6,3,7,11,10,8
61D,6,4,1,4,6,5,5
64,3,3,1,2,4,3,4
65,2,0,0,0,1,1,2
67,5,3,2,4,5,4,3
69,4,1,0,5,2,3,4
71,0,0,0,1,0,0,1
71A,5,4,1,3,4,4,4
71B,6,2,3,3,7,4,5
71C,6,4,2,4,6,6,6
71D,4,3,1,4,4,5,5
74,3,2,1,3,2,2,3
75,7,3,3,4,4,5,7
77,2,1,2,3,3,3,2
79,1,2,1,2,1,1,2
81,2,0,1,2,3,2,3
82,5,3,3,3,5,7,7
83,3,2,2,3,3,3,3
86,4,3,2,3,3,3,3
87,4,1,1,2,4,5,3
88,2,1,2,3,3,2,1
89,1,1,1,0,1,1,0
91,6,2,3,7,8,8,10
93,5,1,2,3,5,5,4
28X,4,3,4,4,5,2,4
G2,2,2,1,2,3,2,2
G3,3,0,0,0,4,3,0
G31,2,0,0,0,3,2,0
O1,2,0,0,0,1,1,2
O5,2,0,0,0,1,1,0
O12,3,0,0,0,4,4,2
P1,6,4,2,4,8,8,8
P3,4,0,0,2,4,4,5
P7,4,0,0,0,1,2,1
P10,2,0,0,0,2,2,1
P12,4,0,0,0,2,3,0
P13,0,0,0,0,1,0,1
P16,3,0,0,0,2,1,2
P17,3,0,0,0,3,3,3
P67,1,0,0,0,0,1,1
P68,5,3,3,3,3,5,4
P69,2,0,0,0,1,1,0
P71,2,0,0,0,1,0,1
P76,3,0,0,0,2,3,2
P78,6,0,0,1,3,2,3
Y46,4,2,2,4,3,4,4
Y47,1,2,0,2,1,2,2
Y49,2,2,1,2,2,2,2
,310,144,114,209,298,287,267